0x1b75e0a2	FOD_switch_enable
0x51733d2a	__drm_atomic_helper_crtc_destroy_state
0x0ad7cc2a	__drm_atomic_helper_crtc_duplicate_state
0xb8eaf34c	__drm_atomic_helper_plane_duplicate_state
0x71d1e00b	__drm_atomic_helper_private_obj_duplicate_state
0xb9cad492	__drm_atomic_state_free
0xec12af74	__drm_dbg
0x4f18a150	__drm_debug
0xb11ac7a7	__drm_err
0xea00fe81	__drm_printfn_coredump
0x3b0e5e9c	__drm_puts_coredump
0xc1d8cfaf	__fdget
0x7d1fe95e	__find_vma
0x5157c749	__free_pages
0x6a5cb5ee	__get_free_pages
0x4428fb5e	__get_task_comm
0xae7df48f	__getblk_gfp
0x7113bd0c	__gpr_driver_register
0xed269ad2	__hrtimer_get_remaining
0xf28cf0ae	__hw_addr_init
0x91f68ea1	__hw_addr_sync
0xb71ed69f	__hw_addr_unsync
0x571c2f3f	__i2c_transfer
0x43d0e4c1	__iio_device_register
0xf5a94b83	__init_rwsem
0x608741b5	__init_swait_queue_head
0xd9a5ea54	__init_waitqueue_head
0x3801776b	__ioread32_copy
0x6b4b2933	__ioremap
0x2dba276a	__iowrite32_copy
0x0d542439	__ipv6_addr_type
0x5467e196	__irq_domain_add
0x6bf72794	__irq_resolve_mapping
0x139f2189	__kfifo_alloc
0xdb760f52	__kfifo_free
0xf23fcb99	__kfifo_in
0x13d0adf7	__kfifo_out
0xeb233a45	__kmalloc
0xc0117038	__kthread_init_worker
0x68f31cbd	__list_add_valid
0xe1537255	__list_del_entry_valid
0x3c3fce39	__local_bh_enable_ip
0xae58f927	__lock_buffer
0x93da7b57	__media_device_register
0xd64ed259	__memcat_p
0x5d112304	__memcpy_fromio
0xf77555cd	__memcpy_toio
0x18b48e28	__memset_io
0x49517a39	__mhi_driver_register
0x1ed3e175	__mmap_lock_do_trace_acquire_returned
0x86832082	__mmap_lock_do_trace_released
0x583d61bc	__mmap_lock_do_trace_start_locking
0x99cf06e1	__mod_lruvec_state
0x6d8106c2	__mod_zone_page_state
0x2176ae6f	__module_get
0x7f02188f	__msecs_to_jiffies
0xa571f6b0	__mutex_init
0x32d96e7b	__napi_schedule
0xc4646201	__netdev_alloc_skb
0x0b393607	__netif_napi_del
0x42468dbb	__netlink_kernel_create
0x420964e3	__nla_parse
0x431ec3a9	__nla_validate
0xbeff675b	__nlmsg_put
0xc60d0620	__num_online_cpus
0x9e7064e0	__of_get_address
0x7bfe59a4	__pci_register_driver
0x280f9f14	__per_cpu_offset
0xfc45e713	__platform_driver_register
0x3b6fa98a	__pm_relax
0xdad7de90	__pm_runtime_disable
0xfaeb4169	__pm_runtime_idle
0x61dd786a	__pm_runtime_resume
0x96f6c9fa	__pm_runtime_set_status
0xa7964c48	__pm_runtime_suspend
0xd0c225ad	__pm_runtime_use_autosuspend
0xfea1e7b4	__pm_stay_awake
0xa76ece10	__pskb_pull_tail
0x98662f48	__put_net
0xcba94ed2	__put_page
0x00a8ebe4	__put_task_struct
0x8d522714	__rcu_read_lock
0x2469810f	__rcu_read_unlock
0x04482cdb	__refrigerator
0x720a27a7	__register_blkdev
0xa8a05008	__register_chrdev
0x3f639c10	__register_rpmsg_driver
0x9e688ddc	__regmap_init
0x1848221d	__release_region
0xa24f23d8	__request_module
0x0ca39ba0	__request_region
0xd0d156e9	__rht_bucket_nested
0x55b208bc	__scsi_print_sense
0xcc445ceb	__sg_page_iter_dma_next
0x7c9ca58f	__sg_page_iter_next
0xccd4c999	__sg_page_iter_start
0x7e81b517	__skb_get_hash
0xb1526bb2	__skb_gso_segment
0x3f08b5ee	__slim_driver_register
0xa138ffba	__sock_create
0x90a816f8	__spi_alloc_controller
0x9ba73443	__spi_register_driver
0xfb6e276c	__srcu_read_lock
0x463728ec	__srcu_read_unlock
0xc2c193d2	__stack_chk_fail
0x57674fd7	__sw_hweight16
0x74c134b9	__sw_hweight32
0x9f46ced8	__sw_hweight64
0xdc3fcbc9	__sw_hweight8
0x169938c1	__sysfs_match_string
0x0bd53bd8	__task_pid_nr_ns
0x3e3bad0a	__tasklet_hi_schedule
0x9d2ab8ac	__tasklet_schedule
0xa20d01ba	__trace_bprintk
0x2d41e6f5	__trace_puts
0x448af6f4	__traceiter_gpu_mem_total
0x12b92842	__traceiter_memlat_dev_meas
0x93480e80	__traceiter_memlat_dev_update
0x316c0d6a	__traceiter_memlat_spm_update
0xaa84e713	__traceiter_print_icmp_rx
0x1425f383	__traceiter_rmnet_freq_boost
0xb93e79c7	__traceiter_rmnet_freq_reset
0x7d601d34	__traceiter_rmnet_shs_err
0xaeb50352	__traceiter_rmnet_shs_high
0x6f448d01	__traceiter_rmnet_shs_low
0xbf68f38c	__traceiter_rmnet_shs_wq_high
0xb3bf0fda	__traceiter_rmnet_shs_wq_low
0x1b792262	__traceiter_rproc_qcom_event
0xb46edc7c	__tracepoint_android_rvh_audio_usb_offload_disconnect
0x08e2839b	__tracepoint_android_vh_alloc_pages_slowpath
0x33a52dcb	__tracepoint_android_vh_audio_usb_offload_connect
0x66dea1b7	__tracepoint_android_vh_check_uninterruptible_tasks
0x7bbce92e	__tracepoint_android_vh_check_uninterruptible_tasks_dn
0x656d334c	__tracepoint_android_vh_cpu_idle_enter
0x51b29892	__tracepoint_android_vh_cpu_idle_exit
0xe2b81116	__tracepoint_android_vh_cpuidle_psci_enter
0x8c331003	__tracepoint_android_vh_cpuidle_psci_exit
0x6db82691	__tracepoint_android_vh_do_send_sig_info
0xe7eeb6d7	__tracepoint_android_vh_gic_resume
0xa29dd83b	__tracepoint_android_vh_gic_suspend
0x5415675e	__tracepoint_android_vh_jiffies_update
0x81f213a3	__tracepoint_android_vh_mem_cgroup_alloc
0xf342a420	__tracepoint_android_vh_mem_cgroup_css_offline
0xacdf3a05	__tracepoint_android_vh_mem_cgroup_css_online
0x71b34ba2	__tracepoint_android_vh_mem_cgroup_free
0x76f2ace1	__tracepoint_android_vh_mem_cgroup_id_remove
0x2941030b	__tracepoint_android_vh_rproc_recovery
0xf3adfa5d	__tracepoint_android_vh_rproc_recovery_set
0xa3e74b24	__tracepoint_android_vh_scheduler_tick
0x5d877102	__tracepoint_android_vh_show_mem
0x8917c5f6	__tracepoint_android_vh_show_resume_epoch_val
0xaf7f3246	__tracepoint_android_vh_show_suspend_epoch_val
0x1523d65f	__tracepoint_android_vh_smartzram_tune_swappiness
0x45da6384	__tracepoint_android_vh_tune_scan_type
0x88fcdb6c	__tracepoint_android_vh_tune_swappiness
0x16fa73fe	__tracepoint_gpu_mem_total
0x3f573f55	__tracepoint_ipi_entry
0xe612228f	__tracepoint_ipi_raise
0x1d14d8bf	__tracepoint_memlat_dev_meas
0xd7078fd9	__tracepoint_memlat_dev_update
0xbfd8c891	__tracepoint_memlat_spm_update
0xbe118c52	__tracepoint_mmap_lock_acquire_returned
0x5efdd68b	__tracepoint_mmap_lock_released
0xbd628752	__tracepoint_mmap_lock_start_locking
0x9f96f449	__tracepoint_print_icmp_rx
0x99737759	__tracepoint_rmnet_freq_boost
0xd2715a86	__tracepoint_rmnet_freq_reset
0x4a7e7fa8	__tracepoint_rmnet_shs_err
0x6cee2a59	__tracepoint_rmnet_shs_high
0x5efff444	__tracepoint_rmnet_shs_low
0x90b8b08d	__tracepoint_rmnet_shs_wq_high
0xb1ed5c1f	__tracepoint_rmnet_shs_wq_low
0x96e7c744	__tracepoint_rproc_qcom_event
0xfede9222	__tracepoint_suspend_resume
0xc5a003b1	__tty_insert_flip_char
0xdf7a4c69	__ubsan_handle_cfi_check_fail_abort
0x9e7d6bd0	__udelay
0xd7ec63ac	__uio_register_device
0x6bc3fbc0	__unregister_chrdev
0xf1969a8e	__usecs_to_jiffies
0xacba8781	__v4l2_device_register_subdev_nodes
0x81874570	__video_register_device
0xa2660249	__wait_on_buffer
0x3eeb2322	__wake_up
0x2773c485	__wake_up_locked
0x56470118	__warn_printk
0xba4aeb8a	_copy_from_iter
0x11089ac7	_ctype
0x4f6ca275	_dev_crit
0xfb83a2a6	_dev_err
0x6aefebc3	_dev_info
0xce82ef75	_dev_notice
0xb5dd69ca	_dev_printk
0xf4cff926	_dev_warn
0x8810754a	_find_first_bit
0x7b37d4a7	_find_first_zero_bit
0xa50a3da7	_find_next_bit
0x92997ed8	_printk
0xfe8c61f0	_raw_read_lock
0x8dee722d	_raw_read_lock_bh
0x48112d76	_raw_read_lock_irq
0xb1342cdb	_raw_read_lock_irqsave
0xdd4d55b6	_raw_read_unlock
0xaeb082ad	_raw_read_unlock_bh
0xa58af0a6	_raw_read_unlock_irq
0xdf2ebb87	_raw_read_unlock_irqrestore
0xba8fbd64	_raw_spin_lock
0x0c3690fc	_raw_spin_lock_bh
0x8427cc7b	_raw_spin_lock_irq
0x34db050b	_raw_spin_lock_irqsave
0xfef216eb	_raw_spin_trylock
0x8518a4a6	_raw_spin_trylock_bh
0xb5b54b34	_raw_spin_unlock
0xe46021ca	_raw_spin_unlock_bh
0x4b750f53	_raw_spin_unlock_irq
0xd35cce70	_raw_spin_unlock_irqrestore
0xe68efe41	_raw_write_lock
0x51a511eb	_raw_write_lock_bh
0x3aca0190	_raw_write_lock_irq
0x5021bd81	_raw_write_lock_irqsave
0x40235c98	_raw_write_unlock
0xe7ab1ecc	_raw_write_unlock_bh
0x9f76baf4	_raw_write_unlock_irq
0xeb078aee	_raw_write_unlock_irqrestore
0x0283dfe3	_snd_pcm_hw_params_any
0x944375db	_totalram_pages
0xb6683aee	adc_tm_absolute_rthr_gen3
0x60f04798	adc_tm_scale_therm_voltage_100k_gen3
0x65744673	add_timer
0x9c6febfc	add_uevent_var
0x4afb2238	add_wait_queue
0xd3c2b116	adjust_managed_page_count
0x77e9eb37	aes_encrypt
0x558b281d	aes_expandkey
0x6c80e764	alloc_anon_inode
0xe3ec2f2b	alloc_chrdev_region
0x8df1e551	alloc_etherdev_mqs
0xb2f23b63	alloc_netdev_mqs
0x49cd25ed	alloc_workqueue
0x9a7e7b53	altmode_deregister_client
0x652a6ed5	altmode_deregister_notifier
0x16938fc1	altmode_register_client
0x64fe27a0	altmode_register_notifier
0x107d0406	altmode_send_data
0xd1f5ea4e	amba_bustype
0xc9612a27	amba_driver_register
0x27f38456	amba_driver_unregister
0x7fbbd0bb	android_rvh_probe_register
0xaa2104ae	anon_inode_getfile
0xcd47fcc4	arc4_crypt
0x2bb32ad1	arc4_setkey
0x18e8c440	arch_freq_scale
0x75fb9062	arch_timer_read_counter
0x14b89635	arm64_const_caps_ready
0xaf56600a	arm64_use_ng_mappings
0xd3752c27	atomic_notifier_call_chain
0x2b9997fb	atomic_notifier_chain_register
0x7181db30	atomic_notifier_chain_unregister
0xc5656b4d	audio_notifier_deregister
0x4717c148	audio_notifier_probe_status
0xa7fe7810	audio_notifier_register
0x386bf0da	audio_pdr_service_deregister
0xe4555ceb	audio_pdr_service_register
0xe22d993f	audio_prm_set_cdc_earpa_duty_cycling_req
0x0df30c99	audio_prm_set_lpass_clk_cfg
0x8e0a0301	audio_prm_set_lpass_hw_core_req
0xa8ec15e6	audio_prm_set_lpi_logging_status
0x83b5b487	audio_prm_set_vote_against_sleep
0xad73041f	autoremove_wake_function
0x1ce9ca87	backlight_device_get_by_type
0x880085e5	backlight_device_register
0x81d9fe8d	backlight_device_set_brightness
0xaef2339b	backlight_device_unregister
0x263c3152	bcmp
0x6721887b	bio_add_page
0xa36427e2	bio_alloc_bioset
0xee691d8e	bio_associate_blkg
0xf86ce723	bio_end_io_acct_remapped
0x1a124aa0	bio_endio
0x91072e5a	bio_put
0x16ac31c9	bio_start_io_acct
0xdac4913a	bitmap_allocate_region
0x64127b67	bitmap_find_next_zero_area_off
0xca21ebd3	bitmap_free
0x1b015d25	bitmap_parselist
0xf474c21c	bitmap_print_to_pagebuf
0x574c2e74	bitmap_release_region
0x2688ec10	bitmap_zalloc
0xdb409f3d	blk_cleanup_disk
0x70693b18	blk_execute_rq_nowait
0xc4b63204	blk_get_request
0x46adeccc	blk_put_request
0x6ebecff6	blk_queue_flag_clear
0xcc56086d	blk_queue_flag_set
0x9f3fea36	blk_queue_io_min
0x3cac3e9d	blk_queue_io_opt
0xa6d5b6dc	blk_queue_logical_block_size
0x8b6dfdcd	blk_queue_max_discard_sectors
0x5b4aecf7	blk_queue_max_write_zeroes_sectors
0xbea60fdd	blk_queue_physical_block_size
0xa683f1f8	blk_rq_map_user
0xd3ebef31	blk_rq_map_user_iov
0xbafd6e53	blk_rq_unmap_user
0x2f9a403c	blkdev_get_by_dev
0x67a7f125	blkdev_put
0x8317ad7c	blocking_notifier_call_chain
0xbb0c86a5	blocking_notifier_chain_register
0x963aa2a9	blocking_notifier_chain_unregister
0xcc6cb1df	bootloader_is_unlock
0xc66abdd8	bpf_trace_run1
0x186658fd	bpf_trace_run10
0xeb39220e	bpf_trace_run11
0x413cae7a	bpf_trace_run12
0x5b75e521	bpf_trace_run2
0xbd3f1d89	bpf_trace_run3
0x4efc6489	bpf_trace_run4
0x6cd7cede	bpf_trace_run5
0xb6ca7751	bpf_trace_run6
0x0d4f2fe5	bpf_trace_run7
0x96a3087c	bpf_trace_run8
0x1879fcbd	bridge_tunnel_header
0xa7257344	btpower_get_chipset_version
0x840e3489	btpower_register_slimdev
0x0ff5522b	build_skb
0x467a1371	bus_find_device
0x58f4e904	bus_for_each_dev
0x075aa1e4	bus_register
0xc2b8ddef	bus_unregister
0x28aa6a67	call_rcu
0xda571594	cancel_delayed_work
0xf8beca97	cancel_delayed_work_sync
0xd969d6f4	cancel_work_sync
0xc6cbbc89	capable
0xf9ff6a03	cdev_add
0x508124fc	cdev_alloc
0xb13f0d72	cdev_del
0x9f1950ac	cdev_device_add
0xb1a2351d	cdev_device_del
0x88a509d5	cdev_init
0x10be6ad4	cfg80211_any_usable_channels
0x6618d23d	cfg80211_assoc_failure
0xa3525ce2	cfg80211_auth_timeout
0x14619811	cfg80211_bss_color_notify
0x1064dcb7	cfg80211_cac_event
0x22aee32f	cfg80211_calculate_bitrate
0x3b44b011	cfg80211_ch_switch_notify
0x3f9121b5	cfg80211_ch_switch_started_notify
0x9ef3e57e	cfg80211_chandef_compatible
0xc0070883	cfg80211_chandef_create
0xda2d1deb	cfg80211_chandef_dfs_required
0x0dc5f8ce	cfg80211_chandef_usable
0x6d9d0361	cfg80211_chandef_valid
0xaf573c52	cfg80211_check_combinations
0x616a4fb7	cfg80211_check_station_change
0x6ddf18fc	cfg80211_classify8021d
0xf9de9039	cfg80211_connect_done
0x96c23099	cfg80211_control_port_tx_status
0x4aca8333	cfg80211_cqm_beacon_loss_notify
0xb2b343e4	cfg80211_cqm_pktloss_notify
0xe35f6e9a	cfg80211_cqm_rssi_notify
0x8939ad77	cfg80211_del_sta_sinfo
0x1b32ab68	cfg80211_disconnected
0xf1dd06e1	cfg80211_external_auth_request
0x9d6cba30	cfg80211_find_elem_match
0xeadfe024	cfg80211_free_nan_func
0x3e8ccf87	cfg80211_get_bss
0xd61b52cb	cfg80211_get_drvinfo
0xf5596d89	cfg80211_get_p2p_attr
0x5ed9bb73	cfg80211_gtk_rekey_notify
0x122fcb7f	cfg80211_ibss_joined
0x189d93ae	cfg80211_iftype_allowed
0x265fb573	cfg80211_inform_bss_frame_data
0xcc1a7c48	cfg80211_is_element_inherited
0xecffa020	cfg80211_iter_combinations
0x117aca91	cfg80211_merge_profile
0x3474cc11	cfg80211_mgmt_tx_status_ext
0x519c21db	cfg80211_michael_mic_failure
0x4514c6c1	cfg80211_nan_func_terminated
0x4c1c2d8e	cfg80211_nan_match
0x41882242	cfg80211_new_sta
0x3cfa965e	cfg80211_pmksa_candidate_notify
0xe439d2ff	cfg80211_probe_status
0xcad776c4	cfg80211_put_bss
0x3701311c	cfg80211_ready_on_channel
0x47869616	cfg80211_ref_bss
0x86ec1480	cfg80211_reg_can_beacon
0xffa6cd40	cfg80211_reg_can_beacon_relax
0x11b5d787	cfg80211_register_netdevice
0x03c0f674	cfg80211_remain_on_channel_expired
0x08557a58	cfg80211_report_obss_beacon_khz
0xef0b1c5d	cfg80211_report_wowlan_wakeup
0x2984f2fe	cfg80211_roamed
0xb4b43ca8	cfg80211_rx_assoc_resp
0xcc56f627	cfg80211_rx_control_port
0xa6284e78	cfg80211_rx_mgmt_ext
0x0881c29c	cfg80211_rx_mlme_mgmt
0x48d30efb	cfg80211_rx_spurious_frame
0x5e0ceeeb	cfg80211_rx_unexpected_4addr_frame
0xd8d115fd	cfg80211_rx_unprot_mlme_mgmt
0x8205fcb1	cfg80211_scan_done
0xd396002c	cfg80211_sched_scan_results
0xfdf3bbbd	cfg80211_sched_scan_stopped
0x8a261655	cfg80211_sched_scan_stopped_locked
0x6ff59c7b	cfg80211_send_layer2_update
0xb30ddae5	cfg80211_shutdown_all_interfaces
0xd3d799af	cfg80211_sinfo_alloc_tid_stats
0x936e8061	cfg80211_sta_opmode_change_notify
0x1738d3cb	cfg80211_stop_iface
0x2184e2a5	cfg80211_tdls_oper_request
0xd43f7b6a	cfg80211_tx_mgmt_expired
0x0c4e49c9	cfg80211_tx_mlme_mgmt
0xa314007e	cfg80211_unlink_bss
0xe5ea9938	cfg80211_unregister_wdev
0x02be1d22	cfg80211_update_owe_info_event
0x7da1f6de	cfg80211_vendor_cmd_get_sender
0x0626fe85	cfg80211_vendor_cmd_reply
0xb3972323	cgroup_add_legacy_cftypes
0xddd0f5a9	cgroup_path_ns
0x0bfc1d1a	check_zeroed_user
0x7fe2eb19	class_destroy
0x94f212bd	class_find_device
0x63cac4fa	class_interface_unregister
0xe182eaef	class_unregister
0xcd07bd79	cld80211_get_genl_family
0xfc42ca73	cleanup_srcu_struct
0x3d9ee9f0	clear_page
0xca980131	clk_alpha_pll_lucid_evo_ops
0xe657bb3f	clk_alpha_pll_postdiv_lucid_evo_ops
0x5f907b96	clk_alpha_pll_regs
0x87fcc03d	clk_alpha_pll_rivian_evo_ops
0xa241182d	clk_branch2_aon_ops
0x42aa850e	clk_branch2_ops
0x479f7d4b	clk_bulk_disable
0xc7a7e770	clk_bulk_enable
0xead5c8e5	clk_bulk_prepare
0x63c08029	clk_bulk_unprepare
0x3138e151	clk_debug_measure_register
0xa4c6e713	clk_debug_mux_ops
0xb6e6d99d	clk_disable
0x213bc93f	clk_dummy_ops
0x815588a6	clk_enable
0x1140fc73	clk_get
0x556e4390	clk_get_rate
0x192ad1d2	clk_hw_get_name
0x76318081	clk_hw_get_num_parents
0x152a1c8c	clk_lucid_evo_pll_configure
0x60091316	clk_notifier_register
0x719e17ff	clk_notifier_unregister
0x7c9a7371	clk_prepare
0x2e1ca751	clk_put
0x22e4af2d	clk_rcg2_ops
0xc087acb5	clk_register
0x65e813ce	clk_regmap_div_ro_ops
0x0cd957a8	clk_rivian_evo_pll_configure
0x43f81957	clk_round_rate
0x2396c7f0	clk_set_parent
0x76d9b876	clk_set_rate
0xb077e70a	clk_unprepare
0xb6fde909	close_fd
0x4fa486ea	cma_get_name
0x08e39398	cmd_db_read_addr
0xf0b2419f	cmd_db_read_aux_data
0x5203d176	cmd_db_ready
0x8522703e	cnss_athdiag_read
0xaa014262	cnss_athdiag_write
0x96e14093	cnss_auto_resume
0x9b95f372	cnss_auto_suspend
0x9935df72	cnss_deinitialize_prealloc_pool
0xddd59580	cnss_device_crashed
0x5891d350	cnss_force_collect_rddm
0xbc5d954a	cnss_force_fw_assert
0x6213b03e	cnss_get_curr_therm_cdev_state
0x577dbb06	cnss_get_fw_cap
0xca965f64	cnss_get_fw_files_for_target
0x703c7848	cnss_get_msi_address
0xbe1072ae	cnss_get_msi_irq
0x13472b6f	cnss_get_pci_slot
0x84956214	cnss_get_platform_cap
0x8c7ae520	cnss_get_soc_info
0x02caf379	cnss_get_user_msi_assignment
0x07cc4b72	cnss_get_virt_ramdump_mem
0x32ac53e2	cnss_get_wifi_kobj
0x248ef56d	cnss_idle_restart
0x8d207eca	cnss_idle_shutdown
0x6e55144e	cnss_initialize_prealloc_pool
0x819b62a5	cnss_pci_allow_l1
0x1770c34d	cnss_pci_force_wake_release
0xd9ea89c0	cnss_pci_force_wake_request
0x5344c9ef	cnss_pci_force_wake_request_sync
0xfc3be397	cnss_pci_is_device_awake
0x012cc3ef	cnss_pci_is_device_down
0x2abe4143	cnss_pci_is_drv_connected
0x49fabe15	cnss_pci_link_down
0x0936a0d2	cnss_pci_lock_reg_window
0x39b946ab	cnss_pci_prevent_l1
0xe915b765	cnss_pci_unlock_reg_window
0x35033f05	cnss_plat_ipc_qmi_daemon_config
0x5657b1fe	cnss_plat_ipc_qmi_file_download
0x9546e7ec	cnss_plat_ipc_qmi_file_upload
0xce10a382	cnss_plat_ipc_register
0x7e699049	cnss_plat_ipc_unregister
0xf67e0e25	cnss_qmi_send
0x951c5c67	cnss_qmi_send_get
0xf52602d1	cnss_qmi_send_put
0x9c621dde	cnss_remove_pm_qos
0x7fe341e5	cnss_request_bus_bandwidth
0xa34e7ef6	cnss_request_pm_qos
0x530eebd0	cnss_reset_time_sync_period
0xb477a61f	cnss_schedule_recovery
0x1e0cf64a	cnss_self_recovery
0x27182c50	cnss_set_fw_log_mode
0xe1ecf2a4	cnss_set_pcie_gen_speed
0x5b4e465a	cnss_set_wfc_mode
0x321547e8	cnss_smmu_get_domain
0x10743ded	cnss_smmu_map
0xf79b1bbb	cnss_smmu_unmap
0xaa701721	cnss_thermal_cdev_register
0xefcd3f5d	cnss_thermal_cdev_unregister
0x6ca6cd89	cnss_update_time_sync_period
0x3c8795d1	cnss_utils_get_wlan_derived_mac_address
0x5da2895f	cnss_utils_get_wlan_mac_address
0x375cb528	cnss_utils_get_wlan_unsafe_channel
0x19c1c4b6	cnss_utils_increment_driver_load_cnt
0x63e6106f	cnss_utils_set_wlan_mac_address
0x52ebbfaa	cnss_utils_set_wlan_unsafe_channel
0x0a426ffb	cnss_utils_update_device_type
0xb04b8d62	cnss_utils_wlan_get_dfs_nol
0xb7ac93ce	cnss_utils_wlan_set_dfs_nol
0xcafe2de5	cnss_wlan_disable
0x718cb483	cnss_wlan_enable
0xed33b88b	cnss_wlan_hw_enable
0x42a42627	cnss_wlan_pm_control
0x57f20740	cnss_wlan_register_driver
0xa5212f24	cnss_wlan_unregister_driver
0x5063e2ca	compat_ptr_ioctl
0xa6257a2f	complete
0x93d6dd8c	complete_all
0x26cc73c3	complete_and_exit
0xddf6ad7a	completion_done
0x51024b02	component_add
0x28a279b5	component_bind_all
0xa473dcef	component_del
0x834c91a3	component_master_add_with_match
0x3c2d9c21	component_master_del
0x38780dd9	component_match_add_release
0xc0061170	component_unbind_all
0xfaf3beb1	config_ep_by_speed
0x8577968d	config_group_init
0xb323e6f4	config_group_init_type_name
0xfd28e538	config_item_get
0xf7bde646	config_item_put
0xbaf5621e	config_item_set_name
0xce60b1d6	configfs_register_group
0xfea88013	configfs_register_subsystem
0xc406a652	configfs_unregister_subsystem
0x0a5a9a25	console_stop
0x0366307a	console_suspend_enabled
0x58d56222	consume_skb
0xee4103ff	contig_page_data
0x68d6b22e	core_ctl_notifier_register
0xbfa9e450	core_ctl_notifier_unregister
0x98c5b72d	coresight_add_sysfs_link
0x164d3ef5	coresight_alloc_device_name
0xecfb329f	coresight_barrier_pkt
0xe4d6c21f	coresight_claim_device
0xfc7a6a6b	coresight_claim_device_unlocked
0xb4feef5a	coresight_csr_get
0x4dcbd5e8	coresight_csr_hwctrl_set
0xb437edd3	coresight_csr_set_byte_cntr
0x4920e280	coresight_csr_set_etr_atid
0x5b3a7456	coresight_disable
0x18697413	coresight_disclaim_device
0xbebaa074	coresight_disclaim_device_unlocked
0x82e148b3	coresight_enable
0x1c925185	coresight_find_csdev_by_fwnode
0x05a4f2dc	coresight_get_platform_data
0xe46a69e7	coresight_register
0x2d61a1cb	coresight_remove_csr_ops
0x4a0e600f	coresight_remove_cti_ops
0xd75abb79	coresight_remove_sysfs_link
0xe3ba7540	coresight_set_assoc_ectdev_mutex
0x2bb0d3a4	coresight_set_csr_ops
0x2db0a7c8	coresight_set_cti_ops
0xeca1a8e2	coresight_timeout
0xca26a1d1	coresight_unregister
0xd994ecee	cpu_all_bits
0x62ad2053	cpu_bit_bitmap
0xd14fef22	cpu_hwcap_keys
0x77c1b75a	cpu_hwcaps
0x589e1a22	cpu_latency_qos_add_request
0x3aaa15b2	cpu_latency_qos_remove_request
0x7537226a	cpu_latency_qos_request_active
0xdc528096	cpu_latency_qos_update_request
0x7a2af7b4	cpu_number
0x444f1735	cpu_pm_register_notifier
0x4f98d766	cpu_pm_unregister_notifier
0x014e8186	cpu_scale
0x45a707a2	cpu_subsys
0x7281ec27	cpu_topology
0xc1a12de3	cpucp_memlat_init
0xb1aa6622	cpufreq_cpu_get
0x837c4f36	cpufreq_cpu_get_raw
0x12501c79	cpufreq_cpu_put
0xca4e6042	cpufreq_get_policy
0x33f0768c	cpufreq_quick_get_max
0xc319717f	cpuidle_governor_latency_req
0xdbe9bf60	cpuidle_register_governor
0x3de09123	cpumask_next
0xe9960e23	cpumask_next_and
0xa04f945a	cpus_read_lock
0x18fb2caf	cpus_read_unlock
0x4df02057	crc32_be
0x69dd3b5b	crc32_le
0x9c5d5b94	crc8
0xaa8106bc	crc8_populate_msb
0x8015df20	crypto_aead_decrypt
0xb13b7647	crypto_aead_encrypt
0xead73e40	crypto_aead_setauthsize
0xb3a872a1	crypto_aead_setkey
0x41db154a	crypto_ahash_digest
0x0cd2e94d	crypto_ahash_setkey
0x9db645a1	crypto_alloc_aead
0x12d64642	crypto_alloc_ahash
0xce23f78d	crypto_alloc_base
0xe95a3e03	crypto_alloc_shash
0x2235b050	crypto_alloc_skcipher
0x28780bb5	crypto_alloc_sync_skcipher
0xa18110e0	crypto_comp_compress
0x41b5f38e	crypto_comp_decompress
